FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_50TH,PERCENTILE_90TH
2013/2014,Fraser,Surrey Memorial Hospital,Knee - ACL Repair,14,38,17.9,35.4
2013/2014,Fraser,Surrey Memorial Hospital,Knee - Meniscectomy,14,27,9.9,18.1
2013/2014,Fraser,Surrey Memorial Hospital,Knee Arthroscopy,35,99,14.4,30
2013/2014,Fraser,Surrey Memorial Hospital,Knee Replacement,402,482,26.2,42
2013/2014,Fraser,Surrey Memorial Hospital,Laparoscopy,13,46,4.2,10.8
2013/2014,Fraser,Surrey Memorial Hospital,Laparotomy,12,40,2.9,13.2
2013/2014,Fraser,Surrey Memorial Hospital,Laryngoscopy,17,38,5.9,29.2
2013/2014,Fraser,Surrey Memorial Hospital,Lens & Vitreous (non-cataract) Surgery,355,1169,3,22.5
2013/2014,Fraser,Surrey Memorial Hospital,Ligament Surgery,5,,13.3,30
2013/2014,Fraser,Surrey Memorial Hospital,Lung Surgery,25,111,2.3,5
2013/2014,Fraser,Surrey Memorial Hospital,Male Reproductive Surgery,,17,4.7,18.5
2013/2014,Fraser,Surrey Memorial Hospital,Mastectomy,10,74,2.6,6.5
2013/2014,Fraser,Surrey Memorial Hospital,Mastoidectomy,,6,7.1,42.2
2013/2014,Fraser,Surrey Memorial Hospital,Myringotomy,,,10.8,13.4
2013/2014,Fraser,Surrey Memorial Hospital,Nasal Surgery,59,53,24.7,53.5
2013/2014,Fraser,Surrey Memorial Hospital,Nerve Surgery,,17,0.9,15.7
2013/2014,Fraser,Surrey Memorial Hospital,Other Eye Surgery,51,70,30.3,50.2
2013/2014,Fraser,Surrey Memorial Hospital,Other Joint Reconstruction,12,19,15.7,31.1
2013/2014,Fraser,Surrey Memorial Hospital,Other Orthopaedic Surgery,32,103,5.4,20.2
2013/2014,Fraser,Surrey Memorial Hospital,Other Urology Surgery,21,93,4.4,20
2013/2014,Fraser,Surrey Memorial Hospital,Parotidectomy,11,20,7.4,36.6
2013/2014,Fraser,Surrey Memorial Hospital,Prostate Surgery,63,275,6.7,28.9
2013/2014,Fraser,Surrey Memorial Hospital,Rectal Surgery,6,8,7.1,20.7
2013/2014,Fraser,Surrey Memorial Hospital,Scope of Chest,17,96,1.1,4.5
2013/2014,Fraser,Surrey Memorial Hospital,Shoulder Surgery,29,57,12.7,25.6
2013/2014,Fraser,Surrey Memorial Hospital,Sinus Surgery,29,36,19.3,45.9
2013/2014,Fraser,Surrey Memorial Hospital,Skin Surgery,,21,2.6,15.6
2013/2014,Fraser,Surrey Memorial Hospital,Skin Tumour Removal,16,73,2.1,12.9
2013/2014,Fraser,Surrey Memorial Hospital,Spinal/Back Surgery,19,53,5.9,23.5
2013/2014,Fraser,Surrey Memorial Hospital,Tendon Surgery,,26,0.9,11.3
2013/2014,Fraser,Surrey Memorial Hospital,Thyroidectomy,51,100,5.9,31.9
2013/2014,Fraser,Surrey Memorial Hospital,Tonsillectomy/Adenoidectomy,9,28,21.8,47.7
2013/2014,Fraser,Surrey Memorial Hospital,Tympanoplasty,10,12,14.6,33.5
2013/2014,Fraser,Surrey Memorial Hospital,Uterine Surgery,170,216,5.4,29.1
2013/2014,Fraser,Surrey Memorial Hospital,Vaginal Repair,83,25,20.7,37.8
2013/2014,Fraser,Surrey Memorial Hospital,Varicose Veins Ligation/Stripping,,6,4.4,26.6
2013/2014,Fraser,Surrey Memorial Hospital,Wound/Laceration Care,5,24,0.9,6.9
2013/2014,Interior,100 Mile District General Hospital,All Procedures,10,27,22.3,41
2013/2014,Interior,100 Mile District General Hospital,Dental Surgery,10,24,24.3,41
2013/2014,Interior,All Facilities,Abdominoplasty,17,44,10.5,49.1
2013/2014,Interior,All Facilities,All Other Procedures,743,3663,3.4,18.8
2013/2014,Interior,All Facilities,All Procedures,13481,39395,5.6,30.4
2013/2014,Interior,All Facilities,Aortic Aneurysm Repair,8,63,2.4,7.4
2013/2014,Interior,All Facilities,Appendectomy,,14,5.3,16
2013/2014,Interior,All Facilities,Bariatric Surgery,,5,7,9.9
2013/2014,Interior,All Facilities,Biopsy in OR,65,508,2.5,11.9
2013/2014,Interior,All Facilities,Bladder Surgery,186,1005,3.6,15
2013/2014,Interior,All Facilities,Bowel Resection,90,647,2.7,10.2
2013/2014,Interior,All Facilities,Breast Biopsy,24,297,2.1,5.8
2013/2014,Interior,All Facilities,Breast Reconstruction,123,244,8.9,34.4
2013/2014,Interior,All Facilities,Breast Reduction,144,360,16.8,38.7
2013/2014,Interior,All Facilities,Cataract Surgery,3322,8486,6.4,29.6
2013/2014,Interior,All Facilities,Cholecystectomy,272,1119,4.9,19.1
2013/2014,Interior,All Facilities,Colostomy/Ileostomy,45,165,5.1,21.2
2013/2014,Interior,All Facilities,Cone Biopsy,14,68,2.9,6.8
2013/2014,Interior,All Facilities,Cranial Surgery,5,82,1.4,9.4
2013/2014,Interior,All Facilities,Cyst/Ganglion Removal,32,103,7.7,39.8
2013/2014,Interior,All Facilities,D&C and Related Surgery,75,607,4,16
2013/2014,Interior,All Facilities,Dental Surgery,185,367,10,33.9
2013/2014,Interior,All Facilities,Endarterectomy,10,117,1.1,5.3
2013/2014,Interior,All Facilities,Examination Under Anaesthetic,,37,2.7,16.9
2013/2014,Interior,All Facilities,Excision Lesion/Tumour,17,110,3,11.3
2013/2014,Interior,All Facilities,Facial Bone Reconstruction,5,64,5.8,20.8
2013/2014,Interior,All Facilities,Fallopian Tube/Ovarian Surgery,71,449,4,13.5
2013/2014,Interior,All Facilities,Foot/Ankle Surgery,40,108,16,39.6
2013/2014,Interior,All Facilities,Foreign Body Removal Surgery,7,46,3.4,18.3
2013/2014,Interior,All Facilities,Fracture Repair,23,136,1.3,12.2
2013/2014,Interior,All Facilities,Free Flap Graft,20,68,3,14.3
2013/2014,Interior,All Facilities,Gastrostomy/Jejunostomy,,9,1.4,6
2013/2014,Interior,All Facilities,Hand/Wrist Surgery,174,504,7.9,34.9
2013/2014,Interior,All Facilities,Hernia Repair - Abdominal,738,2175,8.7,31.2
2013/2014,Interior,All Facilities,Hernia Repair - Hiatal,36,60,10.4,40.2
2013/2014,Interior,All Facilities,Hip Replacement,782,966,15.3,45.8
2013/2014,Interior,All Facilities,Kidney/Bladder Stone Removal,56,324,2.4,8.1
2013/2014,Interior,All Facilities,Knee - ACL Repair,141,313,11.3,43.8
2013/2014,Interior,All Facilities,Knee Arthroscopy,720,2058,7.4,31
2013/2014,Interior,All Facilities,Knee Replacement,1370,1457,19.9,51
2013/2014,Interior,All Facilities,Laparoscopy,37,295,3,12.6
2013/2014,Interior,All Facilities,Laparotomy,9,73,2.1,9.5
2013/2014,Interior,All Facilities,Laryngoscopy,16,97,2.9,13.8
2013/2014,Interior,All Facilities,Lens & Vitreous (non-cataract) Surgery,38,242,2.1,11.9
2013/2014,Interior,All Facilities,Ligament Surgery,16,37,12.4,41.8
2013/2014,Interior,All Facilities,Lipectomy,,18,9.1,29.3
2013/2014,Interior,All Facilities,Lung Surgery,,82,2.6,4.7
2013/2014,Interior,All Facilities,Male Reproductive Surgery,45,175,3.9,23.6
2013/2014,Interior,All Facilities,Mastectomy,66,736,2.1,6.1
2013/2014,Interior,All Facilities,Mastoidectomy,38,43,8.6,22.1
2013/2014,Interior,All Facilities,Myringotomy,8,18,2.5,14.5
2013/2014,Interior,All Facilities,Nasal Surgery,338,545,16.7,56.8
2013/2014,Interior,All Facilities,Nerve Surgery,177,302,20,47.3
2013/2014,Interior,All Facilities,Other Eye Surgery,77,143,9.9,34.8
2013/2014,Interior,All Facilities,Other Joint Reconstruction,133,269,17,47.1
2013/2014,Interior,All Facilities,Other Orthopaedic Surgery,427,1250,9,39.3
2013/2014,Interior,All Facilities,Other Urology Surgery,85,357,4.1,13.7
2013/2014,Interior,All Facilities,Parotidectomy,20,49,4,19
2013/2014,Interior,All Facilities,Prostate Surgery,175,867,4.3,15.6
2013/2014,Interior,All Facilities,Rectal Surgery,136,278,11.6,32.8
2013/2014,Interior,All Facilities,Rib Resection,,11,6.9,26.3
2013/2014,Interior,All Facilities,Scope of Chest,8,167,1.4,3.9
2013/2014,Interior,All Facilities,Shoulder Surgery,483,751,12.1,81.3
2013/2014,Interior,All Facilities,Shunt Insertion/Removal,,14,2.2,6.2
2013/2014,Interior,All Facilities,Sinus Surgery,204,252,16.1,47.6
2013/2014,Interior,All Facilities,Skin Surgery,28,89,6.6,28.6
2013/2014,Interior,All Facilities,Skin Tumour Removal,87,465,4,19.7
2013/2014,Interior,All Facilities,Sphincterotomy,14,49,10.9,34.9
2013/2014,Interior,All Facilities,Spinal/Back Surgery,395,968,13.1,44.3
2013/2014,Interior,All Facilities,Tendon Surgery,101,179,6,34.3
2013/2014,Interior,All Facilities,Thoracotomy,5,69,2.1,4.9
2013/2014,Interior,All Facilities,Thyroidectomy,48,206,4.9,18.3
2013/2014,Interior,All Facilities,Tonsillectomy/Adenoidectomy,125,250,11.1,53.1
2013/2014,Interior,All Facilities,Tympanoplasty,52,86,12.8,46.9
2013/2014,Interior,All Facilities,Uterine Surgery,288,1977,3.7,13
2013/2014,Interior,All Facilities,Vaginal Repair,55,293,7,21.7
2013/2014,Interior,All Facilities,Varicose Veins Ligation/Stripping,96,190,13.9,46.3
2013/2014,Interior,All Facilities,Vascular Bypass Graft - Non Cardiac,18,168,1.6,11.8
2013/2014,Interior,All Facilities,Vascular Surgery - Other,49,379,1.9,6.5
2013/2014,Interior,All Facilities,Wound/Laceration Care,10,68,2.1,12.8
2013/2014,Interior,Cariboo Memorial Hospital,All Other Procedures,8,146,2,6.1
2013/2014,Interior,Cariboo Memorial Hospital,All Procedures,89,1124,2,5.4
2013/2014,Interior,Cariboo Memorial Hospital,Biopsy in OR,,47,1,3.1
2013/2014,Interior,Cariboo Memorial Hospital,Bladder Surgery,,15,3,5.3
2013/2014,Interior,Cariboo Memorial Hospital,Bowel Resection,,41,1.7,5
2013/2014,Interior,Cariboo Memorial Hospital,Breast Biopsy,,21,1.9,3.9
2013/2014,Interior,Cariboo Memorial Hospital,Cholecystectomy,6,94,1.7,4.3
2013/2014,Interior,Cariboo Memorial Hospital,Colostomy/Ileostomy,,10,2.6,4.1
2013/2014,Interior,Cariboo Memorial Hospital,D&C and Related Surgery,,13,1,4.9
2013/2014,Interior,Cariboo Memorial Hospital,Dental Surgery,,7,0.9,1
2013/2014,Interior,Cariboo Memorial Hospital,Excision Lesion/Tumour,,14,1.8,2.9
2013/2014,Interior,Cariboo Memorial Hospital,Fallopian Tube/Ovarian Surgery,,70,2.5,6.5
2013/2014,Interior,Cariboo Memorial Hospital,Hernia Repair - Abdominal,16,158,2.1,5.7
2013/2014,Interior,Cariboo Memorial Hospital,Laparoscopy,,36,2.2,5.5
2013/2014,Interior,Cariboo Memorial Hospital,Mastectomy,,25,1.9,3.9
2013/2014,Interior,Cariboo Memorial Hospital,Rectal Surgery,,8,1.3,5.6
2013/2014,Interior,Cariboo Memorial Hospital,Thyroidectomy,,19,1.4,4.7
2013/2014,Interior,Cariboo Memorial Hospital,Uterine Surgery,27,286,2.1,5.6
2013/2014,Interior,Cariboo Memorial Hospital,Vaginal Repair,,20,3,5.9
2013/2014,Interior,Cariboo Memorial Hospital,Varicose Veins Ligation/Stripping,,18,2.6,6.5
2013/2014,Interior,Cariboo Memorial Hospital,Vascular Surgery - Other,,5,0.9,2.3
2013/2014,Interior,Cariboo Memorial Hospital,Wound/Laceration Care,,6,1.4,4.6
2013/2014,Interior,Creston Valley Hospital,All Procedures,10,67,3.9,10
2013/2014,Interior,Creston Valley Hospital,Dental Surgery,,10,4.2,8.4
2013/2014,Interior,Creston Valley Hospital,Hand/Wrist Surgery,6,31,5.7,11.6
2013/2014,Interior,Creston Valley Hospital,Male Reproductive Surgery,,12,3.9,6.1
2013/2014,Interior,East Kootenay Regional Hospital,All Other Procedures,44,246,3.4,11.3
2013/2014,Interior,East Kootenay Regional Hospital,All Procedures,817,3158,3.6,22.4
2013/2014,Interior,East Kootenay Regional Hospital,Biopsy in OR,6,61,4.4,10.7
2013/2014,Interior,East Kootenay Regional Hospital,Bladder Surgery,7,50,3.6,8.5
2013/2014,Interior,East Kootenay Regional Hospital,Bowel Resection,,37,2.9,11.3
2013/2014,Interior,East Kootenay Regional Hospital,Breast Biopsy,,26,2.5,5.4
2013/2014,Interior,East Kootenay Regional Hospital,Cataract Surgery,153,897,1.1,5.1
2013/2014,Interior,East Kootenay Regional Hospital,Cholecystectomy,18,108,3.1,8.6
2013/2014,Interior,East Kootenay Regional Hospital,Colostomy/Ileostomy,,12,4.4,14.2
2013/2014,Interior,East Kootenay Regional Hospital,Cyst/Ganglion Removal,8,12,8.7,33.4
2013/2014,Interior,East Kootenay Regional Hospital,D&C and Related Surgery,,42,4.1,8.7
2013/2014,Interior,East Kootenay Regional Hospital,Dental Surgery,,6,9.4,36.3
2013/2014,Interior,East Kootenay Regional Hospital,Excision Lesion/Tumour,,7,1.9,9.3
2013/2014,Interior,East Kootenay Regional Hospital,Fallopian Tube/Ovarian Surgery,,32,4.6,12.5
2013/2014,Interior,East Kootenay Regional Hospital,Foot/Ankle Surgery,,7,9.1,29.6
2013/2014,Interior,East Kootenay Regional Hospital,Hand/Wrist Surgery,16,32,14.4,35.8
2013/2014,Interior,East Kootenay Regional Hospital,Hernia Repair - Abdominal,39,174,4.4,21.3
2013/2014,Interior,East Kootenay Regional Hospital,Hip Replacement,30,75,8.1,23.3
2013/2014,Interior,East Kootenay Regional Hospital,Kidney/Bladder Stone Removal,7,26,2.1,6.1
2013/2014,Interior,East Kootenay Regional Hospital,Knee - ACL Repair,,16,8.6,21.2
2013/2014,Interior,East Kootenay Regional Hospital,Knee Arthroscopy,66,236,6.2,33.4
2013/2014,Interior,East Kootenay Regional Hospital,Knee Replacement,60,135,9.6,31.6
2013/2014,Interior,East Kootenay Regional Hospital,Laparoscopy,5,13,4.4,7.5
2013/2014,Interior,East Kootenay Regional Hospital,Laparotomy,,,2.6,5
2013/2014,Interior,East Kootenay Regional Hospital,Laryngoscopy,8,19,3,10.1
2013/2014,Interior,East Kootenay Regional Hospital,Ligament Surgery,,5,30.9,57.3
2013/2014,Interior,East Kootenay Regional Hospital,Male Reproductive Surgery,,15,1,3.9
2013/2014,Interior,East Kootenay Regional Hospital,Mastectomy,,38,1.6,4.3
2013/2014,Interior,East Kootenay Regional Hospital,Mastoidectomy,5,,25.1,25.1
2013/2014,Interior,East Kootenay Regional Hospital,Myringotomy,6,7,3,19.8
2013/2014,Interior,East Kootenay Regional Hospital,Nasal Surgery,84,94,24.2,49.8
2013/2014,Interior,East Kootenay Regional Hospital,Nerve Surgery,,9,9,29.5
2013/2014,Interior,East Kootenay Regional Hospital,Other Joint Reconstruction,7,21,8.9,52
2013/2014,Interior,East Kootenay Regional Hospital,Other Orthopaedic Surgery,36,96,5.5,35.3
2013/2014,Interior,East Kootenay Regional Hospital,Other Urology Surgery,7,24,2.9,9.9
2013/2014,Interior,East Kootenay Regional Hospital,Parotidectomy,,,36.1,56.9
2013/2014,Interior,East Kootenay Regional Hospital,Prostate Surgery,,45,5,17.3
2013/2014,Interior,East Kootenay Regional Hospital,Rectal Surgery,,19,5.4,34.1
2013/2014,Interior,East Kootenay Regional Hospital,Shoulder Surgery,16,37,11.4,43.6
2013/2014,Interior,East Kootenay Regional Hospital,Sinus Surgery,33,18,16.1,40.6
2013/2014,Interior,East Kootenay Regional Hospital,Skin Tumour Removal,,38,3.6,13.9
2013/2014,Interior,East Kootenay Regional Hospital,Spinal/Back Surgery,41,61,44,68.6
2013/2014,Interior,East Kootenay Regional Hospital,Tendon Surgery,,9,5,22.8
2013/2014,Interior,East Kootenay Regional Hospital,Thyroidectomy,,6,21.2,42.1
2013/2014,Interior,East Kootenay Regional Hospital,Tonsillectomy/Adenoidectomy,39,58,13.3,45.1
2013/2014,Interior,East Kootenay Regional Hospital,Tympanoplasty,,7,12,16.9
2013/2014,Interior,East Kootenay Regional Hospital,Uterine Surgery,25,164,4.2,10
2013/2014,Interior,East Kootenay Regional Hospital,Varicose Veins Ligation/Stripping,,27,9.4,28.9
2013/2014,Interior,East Kootenay Regional Hospital,Wound/Laceration Care,,10,3.1,10.8
2013/2014,Interior,Elk Valley Hospital,All Other Procedures,,9,4.3,4.5
2013/2014,Interior,Elk Valley Hospital,All Procedures,44,111,4.7,16.4
2013/2014,Interior,Elk Valley Hospital,Biopsy in OR,,,8.9,39.1
2013/2014,Interior,Elk Valley Hospital,Cholecystectomy,,7,2.3,5.9
2013/2014,Interior,Elk Valley Hospital,Cyst/Ganglion Removal,,,5.3,7.6
2013/2014,Interior,Elk Valley Hospital,Dental Surgery,,15,14.1,19.2
2013/2014,Interior,Elk Valley Hospital,Fallopian Tube/Ovarian Surgery,,5,11.4,33.1
2013/2014,Interior,Elk Valley Hospital,Hand/Wrist Surgery,9,15,6,12.3
2013/2014,Interior,Elk Valley Hospital,Hernia Repair - Abdominal,9,34,5.2,13.7
2013/2014,Interior,Elk Valley Hospital,Male Reproductive Surgery,,,0.2,0.4
2013/2014,Interior,Elk Valley Hospital,Other Orthopaedic Surgery,,8,3.1,6.6
2013/2014,Interior,Elk Valley Hospital,Varicose Veins Ligation/Stripping,9,,10.7,13.7
2013/2014,Interior,Golden and District General Hospital,All Procedures,,133,1.3,3.7
2013/2014,Interior,Golden and District General Hospital,Hernia Repair - Abdominal,,23,1.3,4.3
2013/2014,Interior,Kelowna General Hospital,Abdominoplasty,5,10,9.5,15.9
2013/2014,Interior,Kelowna General Hospital,All Other Procedures,345,1558,3.1,19.7
2013/2014,Interior,Kelowna General Hospital,All Procedures,3472,10738,6.4,25.3
2013/2014,Interior,Kelowna General Hospital,Aortic Aneurysm Repair,7,59,2.6,7.5
2013/2014,Interior,Kelowna General Hospital,Bariatric Surgery,,5,7,9.9
2013/2014,Interior,Kelowna General Hospital,Biopsy in OR,24,109,2.4,10.5
2013/2014,Interior,Kelowna General Hospital,Bladder Surgery,52,286,4,12.1
2013/2014,Interior,Kelowna General Hospital,Bowel Resection,41,207,3,15
2013/2014,Interior,Kelowna General Hospital,Breast Biopsy,,59,2.6,6.8
2013/2014,Interior,Kelowna General Hospital,Breast Reconstruction,96,124,15.5,42.3
2013/2014,Interior,Kelowna General Hospital,Breast Reduction,96,184,17.3,36.1
2013/2014,Interior,Kelowna General Hospital,Cataract Surgery,518,1645,10,20
2013/2014,Interior,Kelowna General Hospital,Cholecystectomy,74,214,9.2,23.7
2013/2014,Interior,Kelowna General Hospital,Colostomy/Ileostomy,18,46,7.6,25.9
2013/2014,Interior,Kelowna General Hospital,Cone Biopsy,12,35,2.7,6.9
2013/2014,Interior,Kelowna General Hospital,Cyst/Ganglion Removal,7,13,12.6,33.7
2013/2014,Interior,Kelowna General Hospital,D&C and Related Surgery,21,134,3.9,10.6
2013/2014,Interior,Kelowna General Hospital,Dental Surgery,,17,4.7,27.5
2013/2014,Interior,Kelowna General Hospital,Endarterectomy,10,99,1.3,5.2
2013/2014,Interior,Kelowna General Hospital,Excision Lesion/Tumour,7,26,5.2,11.9
2013/2014,Interior,Kelowna General Hospital,Facial Bone Reconstruction,5,57,5.9,66.7
2013/2014,Interior,Kelowna General Hospital,Fallopian Tube/Ovarian Surgery,17,86,4,9.6
2013/2014,Interior,Kelowna General Hospital,Foot/Ankle Surgery,12,49,19.9,36.1
2013/2014,Interior,Kelowna General Hospital,Foreign Body Removal Surgery,,10,10.1,37.4
2013/2014,Interior,Kelowna General Hospital,Fracture Repair,10,31,2,15
2013/2014,Interior,Kelowna General Hospital,Free Flap Graft,14,27,3.1,18
2013/2014,Interior,Kelowna General Hospital,Hand/Wrist Surgery,18,32,20.3,29.2
2013/2014,Interior,Kelowna General Hospital,Hernia Repair - Abdominal,168,419,15.3,33.3
2013/2014,Interior,Kelowna General Hospital,Hernia Repair - Hiatal,15,34,10.4,28.4
2013/2014,Interior,Kelowna General Hospital,Hip Replacement,176,275,14,35.5
2013/2014,Interior,Kelowna General Hospital,Kidney/Bladder Stone Removal,21,108,2.1,8
2013/2014,Interior,Kelowna General Hospital,Knee - ACL Repair,50,106,10.3,31
2013/2014,Interior,Kelowna General Hospital,Knee Arthroscopy,173,349,8.3,31.5
2013/2014,Interior,Kelowna General Hospital,Knee Replacement,347,373,18.1,38
2013/2014,Interior,Kelowna General Hospital,Laparoscopy,8,45,5.6,14.5
2013/2014,Interior,Kelowna General Hospital,Laparotomy,7,29,3.3,21
2013/2014,Interior,Kelowna General Hospital,Laryngoscopy,,35,2.7,8.1
2013/2014,Interior,Kelowna General Hospital,Ligament Surgery,,11,9,22
2013/2014,Interior,Kelowna General Hospital,Lipectomy,,,29,29.9
2013/2014,Interior,Kelowna General Hospital,Lung Surgery,,82,2.6,4.7
2013/2014,Interior,Kelowna General Hospital,Male Reproductive Surgery,,35,3,10.3
2013/2014,Interior,Kelowna General Hospital,Mastectomy,17,181,2.1,5
2013/2014,Interior,Kelowna General Hospital,Mastoidectomy,11,11,7.4,14.7
2013/2014,Interior,Kelowna General Hospital,Nasal Surgery,51,126,11.4,27.1
2013/2014,Interior,Kelowna General Hospital,Nerve Surgery,20,64,23,38.9
2013/2014,Interior,Kelowna General Hospital,Other Eye Surgery,59,94,16.4,38.5
2013/2014,Interior,Kelowna General Hospital,Other Joint Reconstruction,28,52,21.4,43.6
2013/2014,Interior,Kelowna General Hospital,Other Orthopaedic Surgery,110,340,10.5,33.3
2013/2014,Interior,Kelowna General Hospital,Other Urology Surgery,19,99,4,10
2013/2014,Interior,Kelowna General Hospital,Parotidectomy,,17,4.3,10.7
2013/2014,Interior,Kelowna General Hospital,Prostate Surgery,48,289,3,8.5
2013/2014,Interior,Kelowna General Hospital,Rectal Surgery,72,85,20.1,30.9
2013/2014,Interior,Kelowna General Hospital,Rib Resection,,9,7.3,26.3
2013/2014,Interior,Kelowna General Hospital,Scope of Chest,8,167,1.4,3.9
2013/2014,Interior,Kelowna General Hospital,Shoulder Surgery,113,146,11.6,32.5
2013/2014,Interior,Kelowna General Hospital,Sinus Surgery,10,30,13.4,30
2013/2014,Interior,Kelowna General Hospital,Skin Surgery,18,42,11.6,31.5
2013/2014,Interior,Kelowna General Hospital,Skin Tumour Removal,26,144,4.1,21.1
2013/2014,Interior,Kelowna General Hospital,Sphincterotomy,8,15,16.4,30.1
2013/2014,Interior,Kelowna General Hospital,Spinal/Back Surgery,195,496,16,33.1
2013/2014,Interior,Kelowna General Hospital,Tendon Surgery,29,57,14,31.2
2013/2014,Interior,Kelowna General Hospital,Thoracotomy,5,69,2.1,4.9
2013/2014,Interior,Kelowna General Hospital,Thyroidectomy,19,84,5.6,19.7
2013/2014,Interior,Kelowna General Hospital,Tonsillectomy/Adenoidectomy,13,67,7,22.5
2013/2014,Interior,Kelowna General Hospital,Tympanoplasty,10,27,7.3,14.5
2013/2014,Interior,Kelowna General Hospital,Uterine Surgery,97,520,4.4,13.6
2013/2014,Interior,Kelowna General Hospital,Vaginal Repair,18,66,9,20.1
2013/2014,Interior,Kelowna General Hospital,Varicose Veins Ligation/Stripping,32,28,28.1,77
2013/2014,Interior,Kelowna General Hospital,Vascular Bypass Graft - Non Cardiac,7,112,1,5.5
2013/2014,Interior,Kelowna General Hospital,Vascular Surgery - Other,25,159,2.1,8.9
2013/2014,Interior,Kelowna General Hospital,Wound/Laceration Care,,19,3,13.9
2013/2014,Interior,Kootenay Boundary Regional Hospital,Abdominoplasty,10,28,18.1,63.3
2013/2014,Interior,Kootenay Boundary Regional Hospital,All Other Procedures,55,198,6.3,45
2013/2014,Interior,Kootenay Boundary Regional Hospital,All Procedures,841,2578,7.1,49
2013/2014,Interior,Kootenay Boundary Regional Hospital,Biopsy in OR,,39,2.1,19
2013/2014,Interior,Kootenay Boundary Regional Hospital,Bladder Surgery,15,59,5.6,20.6
2013/2014,Interior,Kootenay Boundary Regional Hospital,Bowel Resection,5,44,2.1,5.4
2013/2014,Interior,Kootenay Boundary Regional Hospital,Breast Biopsy,,36,2,6
2013/2014,Interior,Kootenay Boundary Regional Hospital,Breast Reconstruction,7,35,7.6,39.2
2013/2014,Interior,Kootenay Boundary Regional Hospital,Breast Reduction,11,27,31.1,76.4
2013/2014,Interior,Kootenay Boundary Regional Hospital,Cholecystectomy,29,80,4.2,14.6
2013/2014,Interior,Kootenay Boundary Regional Hospital,Colostomy/Ileostomy,6,9,4.1,7.1
2013/2014,Interior,Kootenay Boundary Regional Hospital,Cyst/Ganglion Removal,,19,36,69
2013/2014,Interior,Kootenay Boundary Regional Hospital,D&C and Related Surgery,,25,2.6,11.5
2013/2014,Interior,Kootenay Boundary Regional Hospital,Dental Surgery,8,10,5.4,8.5
2013/2014,Interior,Kootenay Boundary Regional Hospital,Fallopian Tube/Ovarian Surgery,,19,4,10.1
2013/2014,Interior,Kootenay Boundary Regional Hospital,Foot/Ankle Surgery,9,11,13.7,45
2013/2014,Interior,Kootenay Boundary Regional Hospital,Foreign Body Removal Surgery,,,7.7,13.1
2013/2014,Interior,Kootenay Boundary Regional Hospital,Fracture Repair,,18,2.3,9
2013/2014,Interior,Kootenay Boundary Regional Hospital,Free Flap Graft,,10,3,9.3
2013/2014,Interior,Kootenay Boundary Regional Hospital,Hand/Wrist Surgery,20,61,16.6,49
2013/2014,Interior,Kootenay Boundary Regional Hospital,Hernia Repair - Abdominal,67,181,6.3,32.1
2013/2014,Interior,Kootenay Boundary Regional Hospital,Hip Replacement,27,85,1.6,17.3
2013/2014,Interior,Kootenay Boundary Regional Hospital,Knee - ACL Repair,18,45,15.7,46.9
2013/2014,Interior,Kootenay Boundary Regional Hospital,Knee Arthroscopy,110,318,12.6,74.9
2013/2014,Interior,Kootenay Boundary Regional Hospital,Knee Replacement,97,130,4.9,24.6
2013/2014,Interior,Kootenay Boundary Regional Hospital,Laparoscopy,,10,5.5,9.3
2013/2014,Interior,Kootenay Boundary Regional Hospital,Laryngoscopy,,14,10,25.1
2013/2014,Interior,Kootenay Boundary Regional Hospital,Ligament Surgery,,15,6.9,32.1
2013/2014,Interior,Kootenay Boundary Regional Hospital,Lipectomy,,5,7,27.5
2013/2014,Interior,Kootenay Boundary Regional Hospital,Male Reproductive Surgery,9,13,9.9,22.9
2013/2014,Interior,Kootenay Boundary Regional Hospital,Mastectomy,9,66,2.9,7.9
2013/2014,Interior,Kootenay Boundary Regional Hospital,Mastoidectomy,,10,11.7,21.1
2013/2014,Interior,Kootenay Boundary Regional Hospital,Nasal Surgery,38,54,49.2,102.8
2013/2014,Interior,Kootenay Boundary Regional Hospital,Nerve Surgery,5,28,14.3,52.3
2013/2014,Interior,Kootenay Boundary Regional Hospital,Other Joint Reconstruction,13,28,24,63.8
2013/2014,Interior,Kootenay Boundary Regional Hospital,Other Orthopaedic Surgery,34,200,16.3,62.5
2013/2014,Interior,Kootenay Boundary Regional Hospital,Other Urology Surgery,12,15,19.1,42.1
2013/2014,Interior,Kootenay Boundary Regional Hospital,Parotidectomy,,,3.4,6.2
2013/2014,Interior,Kootenay Boundary Regional Hospital,Prostate Surgery,16,103,8.4,20.7
2013/2014,Interior,Kootenay Boundary Regional Hospital,Rectal Surgery,,7,10.1,15.1
2013/2014,Interior,Kootenay Boundary Regional Hospital,Shoulder Surgery,101,227,14.6,67.3
2013/2014,Interior,Kootenay Boundary Regional Hospital,Sinus Surgery,24,22,37.9,52.8
2013/2014,Interior,Kootenay Boundary Regional Hospital,Skin Surgery,,6,21.9,44.9
2013/2014,Interior,Kootenay Boundary Regional Hospital,Skin Tumour Removal,5,19,6.9,47.6
2013/2014,Interior,Kootenay Boundary Regional Hospital,Spinal/Back Surgery,,,2.6,3.9
